pc,experimento,repeticion,sin,con
pc1,100,1,0.004681,0.003353
pc1,100,2,0.005083,0.003494
pc1,100,3,0.004823,0.003329
pc1,100,4,0.005338,0.003336
pc1,100,5,0.004457,0.003436
pc1,100,6,0.004459,0.003495
pc1,100,7,0.005233,0.003323
pc1,100,8,0.004502,0.003359
pc1,100,9,0.004646,0.003345
pc1,100,10,0.005429,0.003302
pc1,100,11,0.004739,0.003349
pc1,100,12,0.004552,0.003526
pc1,100,13,0.004488,0.003396
pc1,100,14,0.004666,0.003483
pc1,100,15,0.005087,0.003429
pc1,100,16,0.00478,0.003536
pc1,100,17,0.004508,0.003317
pc1,100,18,0.004664,0.003427
pc1,100,19,0.004588,0.003351
pc1,100,20,0.00449,0.003322
pc1,100,21,0.00466,0.003357
pc1,100,22,0.004614,0.003313
pc1,100,23,0.004674,0.003291
pc1,100,24,0.004803,0.003375
pc1,100,25,0.005287,0.003366
pc1,100,26,0.005132,0.003345
pc1,100,27,0.004566,0.003468
pc1,100,28,0.004746,0.003399
pc1,100,29,0.00487,0.003346
pc1,100,30,0.00498,0.003335
pc1,200,1,0.037763,0.026006
pc1,200,2,0.037165,0.025682
pc1,200,3,0.036584,0.026117
pc1,200,4,0.036912,0.026106
pc1,200,5,0.036897,0.026212
pc1,200,6,0.038056,0.026467
pc1,200,7,0.036368,0.026572
pc1,200,8,0.037,0.025966
pc1,200,9,0.036056,0.026128
pc1,200,10,0.036647,0.026483
pc1,200,11,0.036351,0.026808
pc1,200,12,0.038949,0.026654
pc1,200,13,0.037182,0.026118
pc1,200,14,0.036871,0.026574
pc1,200,15,0.036614,0.026983
pc1,200,16,0.037307,0.027767
pc1,200,17,0.03637,0.02697
pc1,200,18,0.03776,0.026326
pc1,200,19,0.037222,0.028367
pc1,200,20,0.037068,0.026826
pc1,200,21,0.037231,0.027236
pc1,200,22,0.03671,0.026554
pc1,200,23,0.036678,0.02828
pc1,200,24,0.035863,0.026666
pc1,200,25,0.037772,0.026924
pc1,200,26,0.037949,0.027032
pc1,200,27,0.036889,0.026457
pc1,200,28,0.038796,0.026952
pc1,200,29,0.036932,0.02786
pc1,200,30,0.036784,0.026705
pc1,300,1,0.121805,0.059032
pc1,300,2,0.120912,0.058685
pc1,300,3,0.122689,0.058063
pc1,300,4,0.123214,0.058311
pc1,300,5,0.121831,0.05876
pc1,300,6,0.119067,0.061881
pc1,300,7,0.122952,0.058303
pc1,300,8,0.121323,0.058178
pc1,300,9,0.121353,0.057602
pc1,300,10,0.124335,0.058835
pc1,300,11,0.121344,0.0581
pc1,300,12,0.121338,0.058032
pc1,300,13,0.122601,0.058319
pc1,300,14,0.121048,0.059681
pc1,300,15,0.121489,0.059235
pc1,300,16,0.12394,0.060731
pc1,300,17,0.120908,0.060153
pc1,300,18,0.152405,0.05948
pc1,300,19,0.121996,0.06011
pc1,300,20,0.138892,0.059191
pc1,300,21,0.122559,0.059925
pc1,300,22,0.1218,0.060855
pc1,300,23,0.122019,0.059591
pc1,300,24,0.121811,0.058858
pc1,300,25,0.121698,0.060431
pc1,300,26,0.12183,0.061453
pc1,300,27,0.121727,0.059149
pc1,300,28,0.122008,0.058979
pc1,300,29,0.122739,0.059129
pc1,300,30,0.121838,0.059597
pc1,400,1,0.282669,0.208893
pc1,400,2,0.287258,0.208952
pc1,400,3,0.287605,0.20871
pc1,400,4,0.285499,0.209006
pc1,400,5,0.285436,0.206707
pc1,400,6,0.292638,0.208895
pc1,400,7,0.284853,0.210625
pc1,400,8,0.283015,0.207478
pc1,400,9,0.289047,0.210104
pc1,400,10,0.282833,0.206797
pc1,400,11,0.284417,0.209524
pc1,400,12,0.285514,0.210279
pc1,400,13,0.286033,0.210256
pc1,400,14,0.288503,0.210524
pc1,400,15,0.287698,0.208655
pc1,400,16,0.284535,0.209017
pc1,400,17,0.286949,0.208504
pc1,400,18,0.287375,0.208493
pc1,400,19,0.287427,0.207227
pc1,400,20,0.284502,0.210564
pc1,400,21,0.282964,0.212175
pc1,400,22,0.285019,0.218327
pc1,400,23,0.284851,0.227641
pc1,400,24,0.285341,0.208353
pc1,400,25,0.283723,0.208411
pc1,400,26,0.28499,0.209066
pc1,400,27,0.284265,0.208895
pc1,400,28,0.28886,0.208473
pc1,400,29,0.287238,0.209262
pc1,400,30,0.287311,0.208848
pc1,500,1,0.554591,0.26587
pc1,500,2,0.55511,0.262582
pc1,500,3,0.555266,0.262312
pc1,500,4,0.551193,0.26214
pc1,500,5,0.556057,0.263227
pc1,500,6,0.550655,0.263774
pc1,500,7,0.554154,0.263024
pc1,500,8,0.553709,0.26389
pc1,500,9,0.553639,0.264767
pc1,500,10,0.557529,0.264561
pc1,500,11,0.553519,0.264314
pc1,500,12,0.554676,0.262704
pc1,500,13,0.547279,0.263249
pc1,500,14,0.558233,0.263323
pc1,500,15,0.552367,0.265207
pc1,500,16,0.550463,0.262617
pc1,500,17,0.555476,0.263275
pc1,500,18,0.552989,0.263412
pc1,500,19,0.55174,0.263629
pc1,500,20,0.554009,0.262641
pc1,500,21,0.556739,0.263514
pc1,500,22,0.55457,0.264798
pc1,500,23,0.552544,0.265964
pc1,500,24,0.556198,0.263129
pc1,500,25,0.556556,0.262371
pc1,500,26,0.554196,0.264877
pc1,500,27,0.559392,0.262085
pc1,500,28,0.552138,0.264266
pc1,500,29,0.551746,0.263634
pc1,500,30,0.554463,0.264653
pc2,100,1,0.01,0.035941
pc2,100,2,0.01,0.03597
pc2,100,3,0.01,0.040765
pc2,100,4,0.01,0.035948
pc2,100,5,0.01,0.036039
pc2,100,6,0.01,0.035943
pc2,100,7,0.01,0.036044
pc2,100,8,0.01,0.036052
pc2,100,9,0.01,0.036183
pc2,100,10,0.01,0.035945
pc2,100,11,0.01,0.034105
pc2,100,12,0.01,0.0323
pc2,100,13,0.01,0.036286
pc2,100,14,0.01,0.040186
pc2,100,15,0.01,0.036041
pc2,100,16,0.01,0.039987
pc2,100,17,0.01,0.034271
pc2,100,18,0.01,0.042041
pc2,100,19,0.01,0.035964
pc2,100,20,0.01,0.039426
pc2,100,21,0.01,0.031051
pc2,100,22,0.01,0.026043
pc2,100,23,0.01,0.025405
pc2,100,24,0.01,0.026891
pc2,100,25,0.01,0.030294
pc2,100,26,0.01,0.027776
pc2,100,27,0.01,0.024907
pc2,100,28,0.01,0.030318
pc2,100,29,0.01,0.029313
pc2,100,30,0.01,0.024342
pc2,200,1,0.13,0.228117
pc2,200,2,0.13,0.234296
pc2,200,3,0.13,0.235573
pc2,200,4,0.13,0.213376
pc2,200,5,0.13,0.228815
pc2,200,6,0.13,0.213679
pc2,200,7,0.13,0.244059
pc2,200,8,0.13,0.206085
pc2,200,9,0.13,0.216686
pc2,200,10,0.13,0.225319
pc2,200,11,0.13,0.239871
pc2,200,12,0.13,0.222595
pc2,200,13,0.13,0.229656
pc2,200,14,0.13,0.216781
pc2,200,15,0.13,0.226045
pc2,200,16,0.13,0.218314
pc2,200,17,0.13,0.208336
pc2,200,18,0.13,0.205883
pc2,200,19,0.13,0.21209
pc2,200,20,0.13,0.233771
pc2,200,21,0.13,0.210214
pc2,200,22,0.13,0.212225
pc2,200,23,0.13,0.235861
pc2,200,24,0.13,0.226288
pc2,200,25,0.13,0.22443
pc2,200,26,0.13,0.213321
pc2,200,27,0.13,0.216822
pc2,200,28,0.13,0.277574
pc2,200,29,0.13,0.223153
pc2,200,30,0.13,0.221984
pc2,300,1,0.44,0.661858
pc2,300,2,0.44,0.73717
pc2,300,3,0.44,0.684759
pc2,300,4,0.44,0.778544
pc2,300,5,0.44,0.752833
pc2,300,6,0.44,0.722059
pc2,300,7,0.44,0.907248
pc2,300,8,0.44,0.831413
pc2,300,9,0.44,0.692223
pc2,300,10,0.44,0.716486
pc2,300,11,0.44,0.701943
pc2,300,12,0.44,0.690019
pc2,300,13,0.44,0.750167
pc2,300,14,0.44,0.890329
pc2,300,15,0.44,0.930936
pc2,300,16,0.44,0.674038
pc2,300,17,0.45,0.655752
pc2,300,18,0.44,0.625969
pc2,300,19,0.44,0.642999
pc2,300,20,0.44,0.646817
pc2,300,21,0.44,0.691116
pc2,300,22,0.44,0.662143
pc2,300,23,0.44,0.634637
pc2,300,24,0.44,0.652077
pc2,300,25,0.44,0.658275
pc2,300,26,0.44,0.651952
pc2,300,27,0.44,0.63676
pc2,300,28,0.45,0.700246
pc2,300,29,0.44,0.655578
pc2,300,30,0.44,0.709074
pc2,400,1,1.06,1.7733
pc2,400,2,1.06,1.697937
pc2,400,3,1.06,1.677396
pc2,400,4,1.06,1.650062
pc2,400,5,1.06,1.762535
pc2,400,6,1.06,1.731135
pc2,400,7,1.06,1.632893
pc2,400,8,1.06,1.657177
pc2,400,9,1.07,1.584822
pc2,400,10,1.06,1.863741
pc2,400,11,1.06,1.789991
pc2,400,12,1.07,1.741271
pc2,400,13,1.07,1.604574
pc2,400,14,1.06,1.695874
pc2,400,15,1.06,2.091903
pc2,400,16,1.09,1.596468
pc2,400,17,1.06,1.753848
pc2,400,18,1.06,1.656234
pc2,400,19,1.06,1.643886
pc2,400,20,1.06,1.728284
pc2,400,21,1.06,1.872193
pc2,400,22,1.06,1.612567
pc2,400,23,1.07,2.02088
pc2,400,24,1.06,1.765018
pc2,400,25,1.07,1.761887
pc2,400,26,1.07,1.703415
pc2,400,27,1.06,1.671996
pc2,400,28,1.06,1.700007
pc2,400,29,1.06,1.725264
pc2,400,30,1.06,1.751479
pc2,500,1,2.07,3.207266
pc2,500,2,2.07,3.83934
pc2,500,3,2.1,3.196644
pc2,500,4,2.07,3.082918
pc2,500,5,2.07,3.14372
pc2,500,6,2.07,2.948901
pc2,500,7,2.07,2.999372
pc2,500,8,2.07,2.981046
pc2,500,9,2.07,3.11553
pc2,500,10,2.1,2.942566
pc2,500,11,2.07,3.112242
pc2,500,12,2.07,2.956187
pc2,500,13,2.07,3.38831
pc2,500,14,2.07,3.55478
pc2,500,15,2.07,3.622412
pc2,500,16,2.07,4.024271
pc2,500,17,2.07,3.350049
pc2,500,18,2.1,3.808891
pc2,500,19,2.07,3.057493
pc2,500,20,2.1,3.116499
pc2,500,21,2.07,3.129863
pc2,500,22,2.07,3.142523
pc2,500,23,2.07,3.028186
pc2,500,24,2.07,3.089772
pc2,500,25,2.08,3.116024
pc2,500,26,2.1,3.124551
pc2,500,27,2.12,3.150094
pc2,500,28,2.1,3.775917
pc2,500,29,2.07,3.595407
pc2,500,30,2.07,3.215243
pc3,100,1,0.007358,0.013404
pc3,100,2,0.007935,0.019129
pc3,100,3,0.009216,0.021332
pc3,100,4,0.007783,0.026375
pc3,100,5,0.003258,0.006171
pc3,100,6,0.005078,0.015645
pc3,100,7,0.003458,0.017755
pc3,100,8,0.0,0.016028
pc3,100,9,0.008926,0.019598
pc3,100,10,0.00959,0.007002
pc3,100,11,0.008242,0.024622
pc3,100,12,0.0,0.01609
pc3,100,13,0.0,0.03825
pc3,100,14,0.004129,0.023472
pc3,100,15,0.0,0.027297
pc3,100,16,0.0,0.029214
pc3,100,17,0.003188,0.024715
pc3,100,18,0.011686,0.026661
pc3,100,19,0.006303,0.024645
pc3,100,20,0.0,0.024767
pc3,100,21,0.003811,0.019687
pc3,100,22,0.005047,0.016728
pc3,100,23,0.004831,0.016605
pc3,100,24,0.001084,0.01644
pc3,100,25,0.009338,0.014529
pc3,100,26,0.008247,0.019423
pc3,100,27,0.005674,0.019806
pc3,100,28,0.0,0.019665
pc3,100,29,0.0,0.017503
pc3,100,30,0.0,0.019262
pc3,200,1,0.007358,0.103503
pc3,200,2,0.007935,0.125176
pc3,200,3,0.009216,0.125959
pc3,200,4,0.007783,0.098014
pc3,200,5,0.003258,0.100715
pc3,200,6,0.005078,0.135357
pc3,200,7,0.003458,0.110436
pc3,200,8,0.0,0.115533
pc3,200,9,0.008926,0.152615
pc3,200,10,0.00959,0.131474
pc3,200,11,0.008242,0.11694
pc3,200,12,0.0,0.135525
pc3,200,13,0.0,0.120305
pc3,200,14,0.004129,0.1331
pc3,200,15,0.0,0.109606
pc3,200,16,0.0,0.126829
pc3,200,17,0.003188,0.115597
pc3,200,18,0.011686,0.135611
pc3,200,19,0.006303,0.135561
pc3,200,20,0.0,0.130426
pc3,200,21,0.003811,0.136194
pc3,200,22,0.005047,0.116785
pc3,200,23,0.004831,0.114963
pc3,200,24,0.001084,0.124109
pc3,200,25,0.009338,0.122939
pc3,200,26,0.008247,0.130413
pc3,200,27,0.005674,0.138171
pc3,200,28,0.0,0.10498
pc3,200,29,0.0,0.132726
pc3,200,30,0.0,0.107963
pc3,300,1,0.173847,0.357379
pc3,300,2,0.179675,0.340694
pc3,300,3,0.161818,0.367985
pc3,300,4,0.142817,0.333565
pc3,300,5,0.145479,0.325144
pc3,300,6,0.173674,0.399787
pc3,300,7,0.135987,0.343388
pc3,300,8,0.169564,0.351225
pc3,300,9,0.150977,0.330039
pc3,300,10,0.160632,0.403585
pc3,300,11,0.147161,0.328574
pc3,300,12,0.114001,0.422869
pc3,300,13,0.172615,0.421127
pc3,300,14,0.180122,0.338178
pc3,300,15,0.06516,0.3951
pc3,300,16,0.15655,0.401427
pc3,300,17,0.142407,0.423309
pc3,300,18,0.171993,0.409506
pc3,300,19,0.154383,0.383979
pc3,300,20,0.143549,0.449698
pc3,300,21,0.164464,0.332753
pc3,300,22,0.169719,0.390949
pc3,300,23,0.124095,0.35128
pc3,300,24,0.142197,0.417806
pc3,300,25,0.136777,0.381901
pc3,300,26,0.16125,0.400762
pc3,300,27,0.173368,0.396561
pc3,300,28,0.14892,0.413293
pc3,300,29,0.142347,0.404166
pc3,300,30,0.150346,0.372835
pc3,400,1,0.357955,0.399543
pc3,400,2,0.370917,0.387967
pc3,400,3,0.326578,0.947994
pc3,400,4,0.168143,1.073014
pc3,400,5,0.355415,1.241487
pc3,400,6,0.130485,1.023666
pc3,400,7,0.364344,1.100633
pc3,400,8,0.31475,1.144679
pc3,400,9,0.387869,1.04822
pc3,400,10,0.30772,0.986342
pc3,400,11,0.31259,1.031248
pc3,400,12,0.12952,0.957182
pc3,400,13,0.308192,1.193123
pc3,400,14,0.310365,1.025463
pc3,400,15,0.149288,1.026009
pc3,400,16,0.318981,1.226865
pc3,400,17,0.313105,0.953143
pc3,400,18,0.139388,0.898838
pc3,400,19,0.086547,1.195139
pc3,400,20,0.32509,1.226118
pc3,400,21,0.313137,1.004343
pc3,400,22,0.323185,0.916741
pc3,400,23,0.356198,1.105735
pc3,400,24,0.140302,1.077941
pc3,400,25,0.315997,1.017187
pc3,400,26,0.322381,1.024658
pc3,400,27,0.164209,0.957802
pc3,400,28,0.378613,1.05055
pc3,400,29,0.314706,1.181699
pc3,400,30,0.307298,1.111557
pc3,500,1,0.636347,1.860827
pc3,500,2,0.653007,1.67838
pc3,500,3,0.612641,1.877876
pc3,500,4,0.590977,2.089542
pc3,500,5,0.068502,1.665829
pc3,500,6,0.399656,1.886155
pc3,500,7,0.676551,1.802422
pc3,500,8,0.085127,1.737611
pc3,500,9,0.655944,1.642039
pc3,500,10,0.607706,2.133772
pc3,500,11,0.618954,2.081901
pc3,500,12,0.345261,2.149264
pc3,500,13,0.100535,2.103498
pc3,500,14,0.612763,1.759613
pc3,500,15,0.60458,1.937522
pc3,500,16,0.605459,1.666766
pc3,500,17,0.132889,1.759851
pc3,500,18,0.641038,2.102466
pc3,500,19,0.60768,1.769375
pc3,500,20,0.628154,2.08028
pc3,500,21,0.633883,1.731821
pc3,500,22,0.657788,1.833317
pc3,500,23,0.068842,1.729833
pc3,500,24,0.603975,2.042429
pc3,500,25,0.610382,1.853491
pc3,500,26,0.609043,1.905583
pc3,500,27,0.635546,2.182124
pc3,500,28,0.639831,1.782774
pc3,500,29,0.12432,2.067241
pc3,500,30,0.071143,1.852593
